name,region,rating,Red_Wine
Chalk Hill Estate Pinot Noir 2013,"Russian River, Sonoma County, California",90,1
Chalk Hill Estate Pinot Noir 2014,"Russian River, Sonoma County, California",91,1
Chalk Hill Estate Pinot Noir 2015,"Russian River, Sonoma County, California",92,1
Chalk Hill Estate Red (1.5 Liter Magnum) 2007,"Chalk Hill, Sonoma County, California",93,1
Chalk Hill Estate Red 2007,"Chalk Hill, Sonoma County, California",93,1
Chalk Hill Estate Red 2009,"Sonoma County, California",92,1
Chalk Hill Estate Red 2010,"Chalk Hill, Sonoma County, California",91,1
Chalk Hill Estate Red 2011,"Chalk Hill, Sonoma County, California",90,1
Chalk Hill Estate Red 2012,"Chalk Hill, Sonoma County, California",91,1
Chalk Hill Estate Red 2013,"Chalk Hill, Sonoma County, California",92,1
Chalk Hill Estate Red 2014,"Chalk Hill, Sonoma County, California",90,1
Chalk Hill Estate Red 2015,"Sonoma Coast, Sonoma County, California",90,1
Chalk Hill Estate Red (375ML half-bottle) 2007,"Sonoma County, California",93,1
Chalk Hill Estate Sauvignon Blanc 2016,"Chalk Hill, Sonoma County, California",92,0
Chalk Hill Estate Sauvignon Blanc 2017,"Chalk Hill, Sonoma County, California",91,0
Chalk Hill Estate Vineyard Selection Chardonnay 1999,"Sonoma County, California",92,0
Chalk Hill FURTH Cabernet Sauvignon 2006,"Chalk Hill, Sonoma County, California",91,1
Chalk Hill Merlot 1999,"Sonoma County, California",90,1
Chalk Hill Merlot 2006,"Sonoma County, California",92,1
Chalk Hill Sauvignon Blanc 2000,"Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2004,"Sonoma County, California",91,0
Chalk Hill Sauvignon Blanc 2006,"Sonoma County, California",93,0
Chalk Hill Sauvignon Blanc 2008,"Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2009,"Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2010,"Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2012,"Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2013,"Chalk Hill, Sonoma County, California",92,0
Chalk Hill Sauvignon Blanc 2014,"Chalk Hill, Sonoma County, California",90,0
Chalk Hill Sauvignon Blanc 2015,"Chalk Hill, Sonoma County, California",92,0
Chalk Hill Sonoma Coast Pinot Noir 2013,"Sonoma Coast, Sonoma County, California",90,1
Chalk Hill Sonoma Coast Pinot Noir 2014,"Sonoma Coast, Sonoma County, California",91,1
Chalk Hill Vineyard Selection Botrytis Semillon (half-bottle) 1997,"Sonoma County, California",92,0
Chalone Chardonnay 1996,"Central Coast, California",90,0
Chalone Chardonnay 1998,California,90,0
Chalone Chardonnay 1999,California,90,0
Chalone Chardonnay 2001,California,91,0
Chalone Chenin Blanc 2014,"Chalone, Monterey, Central Coast, California",90,0
Chalone Estate Chardonnay 2008,"Central Coast, California",92,0
Chalone Estate Chardonnay 2009,"Central Coast, California",91,0
Chalone Estate Chardonnay 2013,"Central Coast, California",90,0
Chalone Estate Chardonnay 2014,"Central Coast, California",90,0
Chalone Estate Chardonnay 2015,"Chalone, Monterey, Central Coast, California",93,0
Chalone Estate Pinot Blanc 1998,"Central Coast, California",91,0
Chalone Estate Pinot Blanc 2014,"Chalone, Monterey, Central Coast, California",91,0
Chalone Estate Pinot Noir 1999,"Central Coast, California",90,1
Chalone Estate Pinot Noir 2002,"Central Coast, California",90,1
Chalone Estate Pinot Noir 2004,"Central Coast, California",90,1
Chalone Estate Pinot Noir 2012,"Central Coast, California",92,1
Chalone Estate Pinot Noir 2013,"Central Coast, California",92,1
Chalone Estate Pinot Noir 2014,"Central Coast, California",92,1
Chalone Estate Pinot Noir 2015,"Chalone, Monterey, Central Coast, California",90,1
Chalone Gavilan Estate Chardonnay 2013,"Chalone, Monterey, Central Coast, California",90,0
Chalone Gavilan Estate Pinot Noir 2013,"Chalone, Monterey, Central Coast, California",90,1
Chalone Grenache 2013,"Chalone, Monterey, Central Coast, California",92,1
Chalone Syrah 2002,"Central Coast, California",91,1
Chaman Malbec Reserva 2012,Argentina,91,1
Chambers Rosewood Muscadelle (375ML half-bottle),"Rutherglen, Victoria, Australia",90,0
Chambers Rosewood Rutherglen Grand Muscat (375ML half-bottle),"Rutherglen, Victoria, Australia",93,0
Chambers Rosewood Rutherglen Rare Muscat (375ML half-bottle),"Rutherglen, Victoria, Australia",96,0
Chamisal Vineyards Estate Chardonnay 2013,"Edna Valley, Central Coast, California",90,0
Chamisal Vineyards Estate Pinot Noir 2010,"Central Coast, California",90,1
Chamisal Vineyards Estate Pinot Noir 2011,"Edna Valley, Central Coast, California",91,1
Chamisal Vineyards Estate Pinot Noir 2012,"Edna Valley, Central Coast, California",91,1
Chamisal Vineyards Monterey Chardonnay 2017,"Monterey, Central Coast, California",90,0
Chamisal Vineyards Stainless Chardonnay 2010,"Central Coast, California",90,0
Chamisal Vineyards Stainless Chardonnay 2014,"Central Coast, California",90,0
Chamisal Vineyards Stainless Pinot Noir 2014,"Central Coast, California",90,1
Chamonix Chardonnay 2014,"Franschhoek Valley, South Africa",91,0
Chamonix Chardonnay 2016,"Franschhoek Valley, South Africa",91,0
Chamonix Reserve Chardonnay 2014,"Franschhoek Valley, South Africa",91,0
Chamonix Reserve Pinot Noir 2014,"Franschhoek Valley, South Africa",90,1
Chamonix Reserve White 2014,"Franschhoek Valley, South Africa",90,0
Champ de Reves Anderson Valley Pinot Noir 2011,"Anderson Valley, Mendocino, California",93,1
Champ de Reves Anderson Valley Pinot Noir 2012,"Anderson Valley, Mendocino, California",90,1
Champ de Reves Anderson Valley Pinot Noir 2013,"Anderson Valley, Mendocino, California",90,1
Champ de Reves Anderson Valley Pinot Noir 2014,"Anderson Valley, Mendocino, California",90,1
Champ de Reves Skycrest Vineyard Anderson Valley Pinot Noir 2015,"Anderson Valley, Mendocino, California",92,1
Champagne Barons de Rothschild Blanc de Blancs,"Champagne, France",90,0
Champagne Barons de Rothschild Brut,"Champagne, France",90,0
Champagne Barons de Rothschild Rose,"Champagne, France",90,0
Champagne Krug Grande Cuvee 375ML and two flutes,"Champagne, France",94,0
Champalou Vouvray 2015,"Vouvray, Touraine, Loire, France",91,0
Champalou Vouvray La Cuvee des Fondraux 2015,"Vouvray, Touraine, Loire, France",92,0
Champalou Vouvray Les Tries (500ML) 2015,"Vouvray, Touraine, Loire, France",96,0
Champalou Vouvray Sec 2007,"Vouvray, Touraine, Loire, France",90,0
Chandon Blanc de Noirs,"Carneros, California",90,0
Chandon Blanc de Noirs (1.5L),"Carneros, California",91,0
Chandon Blanc de Noirs Late Disgorged,California,90,0
Chandon Brut,California,90,0
Chandon Carneros Pinot Noir 2010,"Carneros, California",90,1
Chandon Chardonnay 2003,"Carneros, California",90,0
Chandon Chardonnay 2012,"Carneros, California",91,0
Chandon de Briailles Corton Clos du Roi Grand Cru 2018,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",95,1
Chandon Etoile Rose,"North Coast, California",90,0
Chandon Ramal Road Reserve Pinot Noir 2002,"Carneros, California",90,1
Chandon Reserve Brut,"North Coast, California",90,0
Chanin Bien Nacido Vineyard Chardonnay 2013,"Santa Maria Valley, Central Coast, California",92,0
Chanin Bien Nacido Vineyard Chardonnay 2014,"Santa Maria Valley, Central Coast, California",91,0
Chanin Bien Nacido Vineyard Chardonnay 2015,"Santa Maria Valley, Central Coast, California",93,0
Chanin Bien Nacido Vineyard Chardonnay 2016,"Santa Maria Valley, Central Coast, California",93,0
Chanin Duvarita Vineyard Pinot Noir 2013,"Santa Barbara, Central Coast, California",91,1
Chanin Duvarita Vineyard Pinot Noir 2014,"Santa Barbara, Central Coast, California",92,1
Chanin La Rinconada Vineyard Pinot Noir 2013,"Sta. Rita Hills, Santa Barbara, Central Coast, California",92,1
Chanin Los Alamos Vineyard Chardonnay 2013,"Santa Barbara, Central Coast, California",92,0
Chanin Los Alamos Vineyard Chardonnay 2014,"Santa Barbara, Central Coast, California",91,0
Chanin Los Alamos Vineyard Chardonnay 2015,"Santa Barbara, Central Coast, California",92,0
Chanin Los Alamos Vineyard Pinot Noir 2013,"Santa Barbara, Central Coast, California",93,1
Chanin Los Alamos Vineyard Pinot Noir 2014,"Santa Barbara, Central Coast, California",93,1
Chanin Los Alamos Vineyard Pinot Noir 2015,"Santa Barbara, Central Coast, California",90,1
Chanin Rita's Crown Vineyard Pinot Noir 2013,"Sta. Rita Hills, Santa Barbara, Central Coast, California",91,1
Chanin Sanford & Benedict Vineyard Chardonnay 2014,"Sta. Rita Hills, Santa Barbara, Central Coast, California",93,0
Chanin Sanford & Benedict Vineyard Chardonnay 2015,"Sta. Rita Hills, Santa Barbara, Central Coast, California",93,0
Chanin Sanford & Benedict Vineyard Pinot Noir 2013,"Santa Maria Valley, Central Coast, California",91,1
Chanin Zotovich Vineyard Pinot Noir 2013,"Sta. Rita Hills, Santa Barbara, Central Coast, California",91,1
Chanson Pere & Fils Beaune Clos des Feves Premier Cru Monopole 2012,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",91,1
Chanson Pere & Fils Beaune Clos des Feves Premier Cru Monopole 2015,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",94,1
Chanson Pere & Fils Beaune Clos des Mouches Blanc Premier Cru 2010,"Burgundy, France",90,0
Chanson Pere & Fils Beaune Clos des Mouches Blanc Premier Cru 2011,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",90,0
Chanson Pere & Fils Beaune Clos des Mouches Premier Cru 2005,"Burgundy, France",92,0
Chanson Pere & Fils Beaune Clos du Roi Premier Cru 2012,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",90,1
Chanson Pere & Fils Beaune Greves Premier Cru 2016,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",90,1
Chanson Pere & Fils Bourgogne Pinot Noir 2015,"Burgundy, France",90,1
Chanson Pere & Fils Chassagne Montrachet 2010,"Burgundy, France",93,0
Chanson Pere & Fils Chassagne-Montrachet Les Chenevottes Premier Cru 2011,"Burgundy, France",90,0
Chanson Pere & Fils Clos des Mouches Rouge 2012,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",92,1
Chanson Pere & Fils Corton Vergennes Grand Cru 2011,"Burgundy, France",92,0
Chanson Pere & Fils Gevrey Chambertin 2010,"Burgundy, France",90,1
Chanson Pere & Fils Meursault 2010,"Burgundy, France",91,0
Chanson Pere & Fils Nuits Saint Georges 2010,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",90,1
Chanson Pere & Fils Puligny-Montrachet 2010,"Burgundy, France",90,0
Chanson Pere & Fils Savigny-Dominode Premier Cru 2010,"Burgundy, France",90,1
Chanson Pere & Fils Savigny-Dominode Premier Cru 2012,"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",90,1
Chanson Pere & Fils Savigny-les-Beaune Dominode Premier Cru 2015,"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",93,1
Chanson Pere & Fils Vire Clesse (1.5 Liter Magnum) 2015,"Maconnais, Burgundy, France",91,0
Chanson Pere & Fils Vire Clesse 2015,"Vire-Clesse, Maconnais, Burgundy, France",91,0
Chante Perdrix Blanc 2014,"Rhone, France",90,0
Chante Perdrix Chateauneuf-du-Pape 2015,"Chateauneuf-du-Pape, Rhone, France",91,1
Chapel Down Brut Rose,England,91,0
Chapel Down Three Graces Brut 2011,England,95,0
Chapel Down Three Graces Brut 2014,England,93,0
Chapelle St. Theodoric Chateauneuf-du-Pape Le Grand Pin 2013,"Chateauneuf-du-Pape, Rhone, France",92,1
Chapoutier and Laughton Cluster M45 Shiraz 2009,Australia,93,1
Chapoutier and Laughton Cluster M45 Shiraz 2010,Australia,93,1
Chappellet Cabernet Franc 2013,"Napa Valley, California",94,1
Chappellet Cabernet Franc 2014,"Napa Valley, California",93,1
Chappellet Cabernet Franc 2015,"Napa Valley, California",91,1
Chappellet Cabernet Franc 2016,"Napa Valley, California",93,1
Chappellet Cabernet Franc 2017,"Napa Valley, California",93,1
Chappellet Chardonnay 1998,"Napa Valley, California",90,0
Chappellet Chardonnay 2005,"Napa Valley, California",90,0
Chappellet Chardonnay 2009,"Napa Valley, California",90,0
Chappellet Chardonnay 2014,"Napa Valley, California",91,0
Chappellet Chardonnay 2015,"Napa Valley, California",90,0
Chappellet Chardonnay 2016,"Napa Valley, California",92,0
Chappellet Grower Collection El Novillero Vineyard Chardonnay 2017,"Carneros, California",94,0
Chappellet Merlot 1999,"Napa Valley, California",94,1
Chappellet Merlot 2015,"Napa Valley, California",90,1
Chappellet Moelleux Chenin Blanc (half-bottle) 1997,"Napa Valley, California",91,0
Chappellet Moelleux Chenin Blanc (half-bottle) 1998,"Napa Valley, California",90,0
Chappellet Mountain Cuvee Proprietor's Blend (1.5 Liter Magnum) 2017,"Napa Valley, California",91,1
Chappellet Mountain Cuvee Proprietor's Blend 2003,"Napa Valley, California",90,1
Chappellet Mountain Cuvee Proprietor's Blend 2007,"Napa Valley, California",92,1
Chappellet Mountain Cuvee Proprietor's Blend 2015,"Napa Valley, California",92,1
Chappellet Mountain Cuvee Proprietor's Blend 2016,"Napa Valley, California",92,1
Chappellet Mountain Cuvee Proprietor's Blend 2017,"Napa Valley, California",91,1
Chappellet Mountain Cuvee Proprietor's Blend 2018,"Napa Valley, California",92,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon (1.5 Liter) 2007,"Napa Valley, California",96,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon (1.5 Liter) 2013,"Napa Valley, California",93,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon (1.5 Liter) 2014,"Napa Valley, California",99,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon (1.5 Liter) 2017,"Napa Valley, California",96,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2005,"Napa Valley, California",94,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2006,"Napa Valley, California",95,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2007,"Napa Valley, California",96,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2008,"Napa Valley, California",91,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2010,"Napa Valley, California",92,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2011,"Napa Valley, California",91,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2013,"Napa Valley, California",93,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2014,"Napa Valley, California",99,1
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2017,"Napa Valley, California",96,1
Chappellet Signature Cabernet Sauvignon (1.5 Liter Magnum) 2014,"Napa Valley, California",94,1
Chappellet Signature Cabernet Sauvignon (1.5 Liter Magnum) 2015,"Napa Valley, California",93,1
Chappellet Signature Cabernet Sauvignon (1.5 Liter Magnum) 2018,"Napa Valley, California",93,1
Chappellet Signature Cabernet Sauvignon (1.5L) Magnum 2006,"Napa Valley, California",94,1
Chappellet Signature Cabernet Sauvignon 1997,"Napa Valley, California",90,1
Chappellet Signature Cabernet Sauvignon 1999,"Napa Valley, California",91,1
Chappellet Signature Cabernet Sauvignon 2001,"Napa Valley, California",90,1
Chappellet Signature Cabernet Sauvignon 2002,"Napa Valley, California",92,1
Chappellet Signature Cabernet Sauvignon 2003,"Napa Valley, California",94,1
Chappellet Signature Cabernet Sauvignon 2004,"Napa Valley, California",93,1
Chappellet Signature Cabernet Sauvignon 2007,"Napa Valley, California",91,1
Chappellet Signature Cabernet Sauvignon 2010,"Napa Valley, California",91,1
Chappellet Signature Cabernet Sauvignon 2012,"Napa Valley, California",91,1
Chappellet Signature Cabernet Sauvignon 2013,"Napa Valley, California",96,1
Chappellet Signature Cabernet Sauvignon 2014,"Napa Valley, California",94,1
Chappellet Signature Cabernet Sauvignon 2015,"Napa Valley, California",93,1
Chappellet Signature Cabernet Sauvignon 2016,"Napa Valley, California",92,1
Chappellet Signature Cabernet Sauvignon 2018,"Napa Valley, California",93,1
Chappellet Signature Chardonnay 1997,"Napa Valley, California",90,0
Chappellet Signature Chardonnay 1999,"Napa Valley, California",91,0
Chappellet Signature Chenin Blanc 2017,"Napa Valley, California",93,0
Chapter 24 Fire and Flood The Fire Pinot Noir 2012,"Willamette Valley, Oregon",91,1
Chapter 24 Fire and Flood The Fire Pinot Noir 2013,"Willamette Valley, Oregon",93,1
Chapter 24 Fire and Flood The Fire Pinot Noir 2014,"Willamette Valley, Oregon",91,1
Chapter 24 Fire and Flood The Fire Pinot Noir (375ML half-bottle) 2013,"Willamette Valley, Oregon",93,1
Chapter 24 Fire and Flood The Flood Pinot Noir 2012,"Willamette Valley, Oregon",92,1
Chapter 24 Fire and Flood The Flood Pinot Noir 2013,"Willamette Valley, Oregon",90,1
Chapter 24 Fire and Flood The Flood Pinot Noir (375ML half-bottle) 2013,"Willamette Valley, Oregon",90,1
Chapter 24 Last Chapter Pinot Noir 2012,"Dundee Hills, Willamette Valley, Oregon",90,1
Chapter 24 Last Chapter Pinot Noir 2013,"Willamette Valley, Oregon",93,1
Chapter 24 Last Chapter Pinot Noir 2014,"Willamette Valley, Oregon",91,1
Chapter 24 Last Chapter Pinot Noir 2015,"Willamette Valley, Oregon",91,1
Chapter 24 Last Chapter Pinot Noir 2016,"Willamette Valley, Oregon",91,1
Chapter 24 Last Chapter Pinot Noir 2017,"Willamette Valley, Oregon",91,1
Chapter 24 The Fire Pinot Noir 2015,"Willamette Valley, Oregon",90,1
Charles & Charles C2 Northridge Vineyard Malbec 2015,"Columbia Valley, Washington",92,1
Charles & Charles Chardonnay 2013,"Columbia Valley, Washington",90,0
Charles & Charles Red Blend 2012,"Columbia Valley, Washington",90,1
Charles & Charles Red Blend 2014,"Columbia Valley, Washington",91,1
Charles & Charles Rose 2011,"Columbia Valley, Washington",90,0
Charles & Charles Rose 2013,"Columbia Valley, Washington",90,0
Charles & Charles Rose 2014,"Columbia Valley, Washington",91,0
Charles & Charles Rose 2017,"Columbia Valley, Washington",90,0
Charles Baur Cuvee Charles Riesling 2011,"Alsace, France",91,0
Charles Clement Blanc de Blancs Brut,"Champagne, France",90,0
Charles de Cazanove Brut Rose,"Champagne, France",91,0
Charles Heidsieck Blanc des Millenaires Brut 1990,"Champagne, France",97,0
Charles Heidsieck Blanc des Millenaires Brut in Gift Box 1995,"Champagne, France",92,0
Charles Heidsieck Brut Reserve,"Champagne, France",90,0
Charles Heidsieck Brut Reserve (375ML half-bottle),"Champagne, France",90,0
Charles Heidsieck Brut Reserve Coffret with 2 Flutes,"Champagne, France",93,0
Charles Heidsieck Brut Reserve (Degorgement 2009),"Champagne, France",90,0
Charles Heidsieck Brut Reserve with two flutes,"Champagne, France",90,0
Charles Heidsieck Champagne Charlie 1981,"Champagne, France",92,0
Charles Heidsieck Champagne Charlie 1985,"Champagne, France",92,0
Charles Heidsieck Vintage Brut 2000,"Champagne, France",91,0
Charles Heidsieck Vintage Brut 2005,"Champagne, France",91,0
Charles Heidsieck Vintage Brut 2006,"Champagne, France",93,0
Charles Heidsieck Vintage Rose 1999,"Champagne, France",93,0
Charles Heidsieck Vintage Rose 1985,"Champagne, France",96,0
Charles Heidsieck Vintage Rose 2005,"Champagne, France",93,0
Charles Heidsieck Vintage Rose 2006,"Champagne, France",92,0
Charles Heintz Rachael Chardonnay 2013,"Sonoma Coast, Sonoma County, California",91,0
Charles Heintz Rachael Chardonnay 2015,"Sonoma Coast, Sonoma County, California",90,0
Charles Heintz Sonoma Coast Syrah 2012,"Sonoma Coast, Sonoma County, California",93,1
Charles Heintz Searby Vineyard Chardonnay 2015,"Sonoma Coast, Sonoma County, California",90,0
Charles Heintz Swan Pinot Noir 2013,"Sonoma Coast, Sonoma County, California",91,1
Charles Heintz Syrah Roxy 2013,"Sonoma Coast, Sonoma County, California",90,1
Charles Heintz Valentina Pinot Noir 2015,"Sonoma Coast, Sonoma County, California",90,1
Charles Joguet Chinon Clos de la Cure 2001,"Chinon, Touraine, Loire, France",90,1
Charles Joguet Chinon Clos de la Dioterie 2010,"Chinon, Touraine, Loire, France",91,1
Charles Joguet Chinon Clos de la Dioterie 2014,"Chinon, Touraine, Loire, France",92,1
Charles Joguet Chinon Cuvee Terroir 2011,"Chinon, Touraine, Loire, France",91,1
Charles Joguet Chinon Cuvee Terroir 2016,"Chinon, Touraine, Loire, France",90,1
Charles Joguet Chinon Les Petites Roches 2001,"Chinon, Touraine, Loire, France",90,1
Charles Joguet Chinon Les Petites Roches 2014,"Chinon, Touraine, Loire, France",91,1
Charles Joguet Chinon Les Petites Roches 2015,"Chinon, Touraine, Loire, France",91,1
Charles Joguet Chinon Les Varennes du Grand Clos 2016,"Chinon, Touraine, Loire, France",92,1
Charles Krug Cabernet Sauvignon 2017,"Napa Valley, California",91,1
Charles Krug Carneros Chardonnay 2015,"Carneros, California",90,0
Charles Krug Family Reserve Cabernet Sauvignon 2012,"Howell Mountain, Napa Valley, California",91,1
Charles Krug Family Reserve Chardonnay 2003,"Carneros, California",90,0
Charles Krug Family Reserve Generations 2005,"Napa Valley, California",92,1
Charles Krug Family Reserve Generations 2008,"Napa Valley, California",92,1
Charles Krug Family Reserve Generations 2012,"Napa Valley, California",91,1
Charles Krug Family Reserve Generations 2013,"Napa Valley, California",90,1
Charles Krug Family Reserve Generations 2014,"Napa Valley, California",93,1
Charles Krug Family Reserve Generations 2015,"Napa Valley, California",90,1
Charles Krug Family Reserve Generations 2016,"Napa Valley, California",94,1
Charles Krug Generations 1997,"Napa Valley, California",92,1
Charles Krug Howell Mountain Cabernet Sauvignon 2012,"Howell Mountain, Napa Valley, California",91,1
Charles Krug Howell Mountain Cabernet Sauvignon 2013,"Howell Mountain, Napa Valley, California",94,1
Charles Krug Napa Valley Merlot 1999,"Napa Valley, California",90,1
Charles Krug Reserve Merlot 1997,"Napa Valley, California",91,1
Charles Krug Sauvignon Blanc 2004,"Napa Valley, California",92,0
Charles Krug Sauvignon Blanc 2013,"Napa Valley, California",90,0
Charles Krug Sauvignon Blanc 2016,"St. Helena, Napa Valley, California",90,0
Charles Krug Sauvignon Blanc 2017,"St. Helena, Napa Valley, California",90,0
Charles Krug Sauvignon Blanc 2019,"St. Helena, Napa Valley, California",90,0
Charles Krug Vintage Select Cabernet Sauvignon 1996,"Napa Valley, California",90,1
Charles Krug Vintage Select Cabernet Sauvignon 2002,"Napa Valley, California",92,1
Charles Krug Vintage Selection Cabernet Sauvignon 2006,"Napa Valley, California",94,1
Charles Krug Vintage Selection Cabernet Sauvignon 2008,"Napa Valley, California",92,1
Charles Krug Vintage Selection Cabernet Sauvignon 2010,"Napa Valley, California",91,1
Charles Krug Vintage Selection Cabernet Sauvignon 2012,"Napa Valley, California",93,1
Charles Krug Vintage Selection Cabernet Sauvignon 2014,"Napa Valley, California",92,1
Charles Krug Yountville Cabernet Sauvignon 2006,"Napa Valley, California",91,1
Charles Melton Barossa Valley Grenache 1999,"Barossa Valley, Barossa, South Australia, Australia",90,1
Charles Melton Barossa Valley Grenache 2000,"Barossa Valley, Barossa, South Australia, Australia",90,1
Charles Melton Barossa Valley Nine Popes 2000,"Barossa Valley, Barossa, South Australia, Australia",91,1
Charles Melton Barossa Valley Shiraz 2000,"Barossa Valley, Barossa, South Australia, Australia",91,1
Charles Melton Barossa Valley Shiraz 2001,"Barossa Valley, Barossa, South Australia, Australia",91,1
Charles Melton BarossaValley Rose of Virginia 2000,"Barossa Valley, Barossa, South Australia, Australia",90,0
Charles Melton BarossaValley Rose of Virginia 2002,"Barossa Valley, Barossa, South Australia, Australia",90,0
Charles Melton Shiraz/Cabernet Sauvignon 2000,"Barossa Valley, Barossa, South Australia, Australia",90,1
Charles Smith Wines Boom Boom Syrah 2010,"Columbia Valley, Washington",90,1
Charles Smith Wines Boom Boom Syrah 2013,"Columbia Valley, Washington",90,1
Charles Smith Wines Boom Boom Syrah 2016,"Columbia Valley, Washington",90,1
Charles Smith Wines Broncho Malbec 2010,Washington,90,1
Charles Smith Wines Chateau Smith Cabernet Sauvignon 2007,"Columbia Valley, Washington",90,1
Charles Smith Wines Chateau Smith Cabernet Sauvignon 2009,"Columbia Valley, Washington",91,1
Charles Smith Wines Chateau Smith Cabernet Sauvignon 2012,"Columbia Valley, Washington",90,1
Charles Smith Wines Chateau Smith Cabernet Sauvignon 2014,"Columbia Valley, Washington",90,1
Charles Smith Wines King Coal Stoneridge Vineyard 2008,"Columbia Valley, Washington",96,1
Charles Smith Wines Kung Fu Girl Riesling 2008,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2009,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2010,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2011,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2012,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2013,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2014,"Columbia Valley, Washington",90,0
Charles Smith Wines Kung Fu Girl Riesling 2015,"Ancient Lakes, Columbia Valley, Washington",90,0
Charles Smith Wines Lawrence Vineyard Viognier 2011,"Columbia Valley, Washington",91,0
Charles Smith Wines Old Bones Syrah 2005,"Columbia Valley, Washington",99,1
Charles Smith Wines Royal City Syrah 2006,"Columbia Valley, Washington",97,1
Charles Smith Wines Royal City Syrah 2008,"Columbia Valley, Washington",96,1
Charles Smith Wines Royal City Syrah 2009,"Columbia Valley, Washington",92,1
Charles Smith Wines Royal City Syrah 2012,"Columbia Valley, Washington",99,1
Charles Smith Wines Royal Slope Heart Syrah 2007,"Columbia Valley, Washington",98,1
Charles Smith Wines The Skull Syrah 2005,"Columbia Valley, Washington",98,1
Charles Smith Wines Velvet Devil Merlot 2012,Washington,90,1
Charles Smith Wines Velvet Devil Merlot 2013,Washington,90,1
Charly Thevenet Regnie Grain and Granit 2016,"Beaujolais, Burgundy, France",91,1
Chartogne-Taillet Chemin de Reims Extra Brut 2013,"Champagne, France",94,0
Chartron et Trebuchet Cru Les Pucelles Puligny Montrachet Premier 1997,"Burgundy, France",92,0
Chase Family Hayne Vineyard Reserve Zinfandel 2015,"St. Helena, Napa Valley, California",95,1
Chase Family Hayne Vineyard Zinfandel 2015,"St. Helena, Napa Valley, California",94,1
Chasing Venus Sauvignon Blanc 2015,"Marlborough, New Zealand",90,0
Chassenay d'Arce Confidences Brut,"Champagne, France",90,0
Chassenay d'Arce Cuvee Premier Brut,"Champagne, France",90,0
Chasseur Blank Pinot Noir 2007,"Russian River, Sonoma County, California",94,1
Chasseur Blank Pinot Noir (torn label) 2005,"Russian River, Sonoma County, California",91,1
Chasseur Durell Chardonnay 2012,"Sonoma Valley, Sonoma County, California",90,0
Chasseur Freestone Station Pinot Noir 2007,"Russian River, Sonoma County, California",93,1
Chasseur Freestone Station Pinot Noir 2012,"Russian River, Sonoma County, California",91,1
Chasseur Freestone Station Pinot Noir (torn label) 2005,"Russian River, Sonoma County, California",91,1
Chasseur Graton's Choice Chardonnay 2011,"Russian River, Sonoma County, California",90,0
Chasseur Graton's Choice Chardonnay 2012,"Russian River, Sonoma County, California",92,0
Chasseur Green Acres Hill Sangiacomo Chardonnay 2007,"Sonoma Coast, Sonoma County, California",92,0
Chasseur Green Acres Hill Sangiacomo Chardonnay 2011,"Sonoma Coast, Sonoma County, California",92,0
Chasseur Graton's Choice Chardonnay 2013,"Russian River, Sonoma County, California",90,0
Chasseur Lorenzo Chardonnay 2012,"Russian River, Sonoma County, California",92,0
